tick,low,medium,high,gini
1,352,400,248,0.30848270992504645
2,410,436,154,0.33055355599214187
3,477,413,110,0.34272431729518876
4,541,392,67,0.35288661756186374
5,571,395,34,0.35459847574866393
6,592,381,27,0.35680396941597575
7,641,341,18,0.35981054592580614
8,655,331,14,0.3599564494417611
9,689,304,7,0.350296495853873
10,721,273,6,0.3579441674595618
11,733,262,5,0.35526044354687925
12,744,250,6,0.36196238093473165
13,725,267,8,0.3762713623316411
14,726,265,9,0.3691992109038738
15,708,280,12,0.36615429735520355
16,707,279,14,0.37492313315926923
17,703,281,16,0.37432818294190345
18,710,270,20,0.3768862253051784
19,726,255,19,0.3839576446972234
20,727,258,15,0.3882936939296707
21,750,237,13,0.38934923688598144
22,775,216,9,0.3890241614107753
23,804,188,8,0.39180710440002436
24,836,157,7,0.3936305143103076
25,846,148,6,0.3967625056740805
26,848,144,8,0.4011477110157364
27,850,141,9,0.3999770292752692
28,847,145,8,0.3976799807097673
29,860,133,7,0.393787897395819
30,867,126,7,0.41195141198354035
31,871,123,6,0.4103782174897291
32,866,127,7,0.408860421699978
33,860,132,8,0.4105564695059252
34,856,133,11,0.4139098615731301
35,852,137,11,0.41417898228904665
36,851,137,12,0.4127988879812377
37,848,140,12,0.41655711333734363
38,848,139,13,0.4151913962342332
39,854,132,14,0.41933968294883367
40,850,134,16,0.4175760886211641
41,851,135,14,0.41521574819191187
42,846,140,14,0.42378261531435507
43,845,139,16,0.4253370780881692
44,840,144,16,0.4378795505504749
45,839,144,17,0.4334078519629902
46,837,147,16,0.4255457462299781
47,841,143,16,0.42906301995140966
48,846,139,15,0.42864163016193346
49,846,136,18,0.4288159563054714
50,852,133,15,0.42210822722820757
51,859,127,14,0.41918529454475123
52,856,131,13,0.41748021933094487
53,862,123,15,0.42892247188258054
54,865,119,16,0.43006862649188093
55,873,112,15,0.4359068283028206
56,875,108,17,0.435544693012713
57,879,107,14,0.4374917014510039
58,885,101,14,0.4350261671126975
59,884,103,13,0.43299499219079224
60,888,100,12,0.43603826328310846
61,889,99,12,0.43973402051686783
62,890,99,11,0.43370754257907573
63,888,102,10,0.4303794945848375
64,887,103,10,0.4352293996256661
65,892,98,10,0.4432464832685206
66,890,100,10,0.442027003959316
67,894,97,9,0.4385260970627598
68,906,88,6,0.4373393356394828
69,905,89,6,0.44644776083678384
70,907,87,6,0.4455411193603656
71,910,84,6,0.43975471075159783
72,910,83,7,0.4383314403717091
73,914,79,7,0.43674541536876177
74,913,82,5,0.44524842811894283
75,913,82,5,0.4514652382414777
76,912,83,5,0.45437673471320983
77,912,83,5,0.4598718128983877
78,915,80,5,0.44894900589101605
79,919,76,5,0.44528441436704047
80,919,76,5,0.45307031089384825
81,914,81,5,0.4619902754891272
82,862,121,17,0.45620247552189186
83,865,120,15,0.4585606952427118
84,869,116,15,0.45012972152357617
85,873,114,13,0.4502129370231185
86,879,108,13,0.4522470912853531
87,881,107,12,0.4452249266395217
88,873,113,14,0.4495948188439203
89,873,114,13,0.4397571343228709
90,875,114,11,0.4431592244690204
91,876,112,12,0.44234877102793047
92,885,105,10,0.4393667951895716
93,887,103,10,0.44377790553281454
94,838,132,30,0.4378072038261748
95,838,132,30,0.4428852611728357
96,847,127,26,0.43906151134411947
97,858,119,23,0.4423874099735619
98,865,113,22,0.4424702132035373
99,867,111,22,0.4459144619011992
100,868,111,21,0.44929966552139955
101,875,103,22,0.44679817687509993
102,883,98,19,0.4412678343949041
103,891,92,17,0.4377643752702116
104,893,93,14,0.4386073282861787
105,877,102,21,0.4439562832563695
106,862,116,22,0.4452402601993916
107,863,116,21,0.44490527594747403
108,862,118,20,0.442961767283125
109,867,112,21,0.44166526955760815
110,876,106,18,0.43302808299983775
111,880,103,17,0.44189260076009973
112,883,100,17,0.44427948538011697
113,839,129,32,0.4410036679357416
114,850,122,28,0.44210705539897494
115,862,114,24,0.4379034969581571
116,870,109,21,0.43257157540646657
117,870,109,21,0.4300372886023085
118,869,110,21,0.4311059530061886
119,870,113,17,0.43328309852691493
120,873,114,13,0.43367673591185585
121,869,117,14,0.4287516366799429
122,875,112,13,0.42803229202425847
123,881,110,9,0.43681027926183436
124,877,114,9,0.44393622939799254
125,885,107,8,0.4503227805186
126,883,107,10,0.4477296755547264
127,881,110,9,0.44373225940841554
128,884,107,9,0.44319605920530397
129,887,104,9,0.45451325518913943
130,884,105,11,0.46208791732152243
131,885,104,11,0.4599693231389842
132,887,103,10,0.44966547745911156
133,885,104,11,0.4458135508040939
134,879,110,11,0.4476895477248776
135,880,108,12,0.45488045553893836
136,887,105,8,0.4511199153429304
137,887,104,9,0.4537705229941066
138,887,102,11,0.4513007477280575
139,861,124,15,0.45442827278639775
140,866,120,14,0.4562766399593619
141,874,117,9,0.4500149405380442
142,876,114,10,0.44818431372549045
143,873,117,10,0.4440934329231257
144,874,117,9,0.4481281459873818
145,879,112,9,0.4465553697720136
146,879,112,9,0.44921371467177157
147,884,109,7,0.44660169188076276
148,887,107,6,0.4470167565655672
149,893,102,5,0.44831466571771716
150,859,124,17,0.4448750028021257
151,864,119,17,0.44249346756152114
152,868,116,16,0.4469585145983762
153,867,116,17,0.4437529726715005
154,873,112,15,0.4369722265564054
155,872,112,16,0.448804200496544
156,871,115,14,0.43866148516610404
157,864,122,14,0.43489369176722203
158,868,118,14,0.4338962003266197
159,868,119,13,0.43140173686495853
160,873,115,12,0.4336939390630116
161,882,106,12,0.4380916066290454
162,885,103,12,0.435912720332323
163,869,114,17,0.43473939516947463
164,881,106,13,0.4375838599352224
165,886,103,11,0.43723454061612044
166,884,105,11,0.4470421383647804
167,889,99,12,0.4408523333482765
168,894,96,10,0.43800479985712026
169,900,90,10,0.4367132285746125
170,900,92,8,0.44337377063771094
171,904,90,6,0.44744091498011895
172,907,88,5,0.4392094800882486
173,906,89,5,0.44629396570919605
174,912,84,4,0.44018417413800803
175,912,84,4,0.44255765882405496
176,912,83,5,0.4431957429790262
177,909,86,5,0.4447321245600748
178,908,88,4,0.4401655626174911
179,909,86,5,0.43447580770167665
180,910,84,6,0.4442541460214034
181,913,81,6,0.4384999089833439
182,828,139,33,0.4458609784789986
183,836,133,31,0.452123466771384
184,849,124,27,0.45147158683534966
185,862,113,25,0.4572288773554029
186,865,110,25,0.4601787970980576
187,869,108,23,0.46126206349946414
188,872,108,20,0.45712100263248295
189,872,109,19,0.45630753778021255
190,880,104,16,0.4512335986824044
191,887,98,15,0.46068622920517543
192,890,96,14,0.4530413323274584
193,889,97,14,0.4565441537860866
194,895,94,11,0.44277628186112294
195,854,121,25,0.4520098527824348
196,854,123,23,0.4428740182431365
197,851,126,23,0.4474313938734818
198,858,119,23,0.4442660567039426
199,853,125,22,0.4521053472761315
200,857,120,23,0.45735080356936975
